Variable,"The District of Algoma Health Unit [Health region], Ontario","Brant County Health Unit [Health region], Ontario","Chatham-Kent Health Unit [Health region], Ontario","Durham Regional Health Unit [Health region], Ontario","The Eastern Ontario Health Unit [Health region], Ontario","Grey Bruce Health Unit [Health region], Ontario","Haldimand-Norfolk Health Unit [Health region], Ontario","City of Hamilton Health Unit [Health region], Ontario","Halton Regional Health Unit [Health region], Ontario","Haliburton, Kawartha, Pine Ridge District Health Unit [Health region], Ontario","Hastings and Prince Edward Counties Health Unit [Health region], Ontario","Huron Perth Health Unit [Health region], Ontario","Kingston, Frontenac and Lennox and Addington Health Unit [Health region], Ontario","Lambton Health Unit [Health region], Ontario","Leeds, Grenville and Lanark District Health Unit [Health region], Ontario","Middlesex-London Health Unit [Health region], Ontario","Niagara Regional Area Health Unit [Health region], Ontario","North Bay Parry Sound District Health Unit [Health region], Ontario","Northwestern Health Unit [Health region], Ontario","City of Ottawa Health Unit [Health region], Ontario","Peel Regional Health Unit [Health region], Ontario","Peterborough County--City Health Unit [Health region], Ontario","Porcupine Health Unit [Health region], Ontario","Sudbury and District Health Unit [Health region], Ontario","Renfrew County and District Health Unit [Health region], Ontario","Simcoe Muskoka District Health Unit [Health region], Ontario","South West [Home and Community Care Support Services], Ontario","Thunder Bay District Health Unit [Health region], Ontario","Timiskaming Health Unit [Health region], Ontario","City of Toronto Health Unit [Health region], Ontario","Waterloo Health Unit [Health region], Ontario","Wellington-Dufferin-Guelph Health Unit [Health region], Ontario","Windsor-Essex County Health Unit [Health region], Ontario","York Regional Health Unit [Health region], Ontario"
  In the labour force,49840,73555,49015,367505,104310,82790,56295,290990,320175,86520,78380,73905,102220,59655,87795,256120,233555,59195,36000,549990,784815,70275,38560,99750,50435,308210,520415,72790,14860,1518420,317990,169205,203695,622430
    Employed,43410,65180,43770,320545,95910,75600,51015,255075,284705,76955,69645,68495,90025,53000,79435,224375,197365,52695,32850,493140,678660,61275,34995,89415,45775,272040,464915,64970,13550,1308110,283810,153245,171710,543545
    Unemployed,6435,8375,5250,46960,8405,7185,5280,35915,35475,9575,8740,5410,12195,6655,8360,31750,36190,6500,3150,56845,106155,8995,3570,10335,4660,36170,55500,7820,1305,210305,34175,15965,31985,78880
  Not in the labour force,45415,44290,36465,198455,67515,61010,39620,178805,158605,74435,65230,41660,69755,46725,63320,154280,165390,49530,25495,284150,414255,53345,27330,68355,37335,186345,321285,53885,11935,859530,160155,80900,143280,352105
Participation rate,52.3,62.4,57.3,64.9,60.7,57.6,58.7,61.9,66.9,53.8,54.6,64,59.4,56.1,58.1,62.4,58.5,54.4,58.5,65.9,65.5,56.8,58.5,59.3,57.5,62.3,61.8,57.5,55.5,63.9,66.5,67.7,58.7,63.9
Employment rate,45.6,55.3,51.2,56.6,55.8,52.6,53.2,54.3,59.5,47.8,48.5,59.3,52.3,49.8,52.6,54.7,49.5,48.5,53.4,59.1,56.6,49.6,53.1,53.2,52.2,55,55.2,51.3,50.6,55,59.4,61.3,49.5,55.8
Unemployment rate,12.9,11.4,10.7,12.8,8.1,8.7,9.4,12.3,11.1,11.1,11.2,7.3,11.9,11.2,9.5,12.4,15.5,11,8.8,10.3,13.5,12.8,9.3,10.4,9.2,11.7,10.7,10.7,8.8,13.9,10.7,9.4,15.7,12.7
Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,95255,117845,85490,565965,171825,143795,95920,469795,478785,160955,143615,115565,171975,106375,151115,410405,398950,108725,61490,834140,1199070,123620,65895,168100,87770,494555,841700,126670,26790,2377945,478140,250100,346970,974535
  Did not work,44535,44225,35825,205785,66290,58510,38565,181580,160020,73255,64285,40605,68195,46250,61695,156445,164850,48630,25115,285615,447135,53565,27485,68490,36450,184860,318765,52670,11795,905995,160695,80405,145395,360365
  Worked,50720,73620,49665,360180,105535,85280,57350,288220,318760,87705,79325,74950,103780,60125,89420,253960,234100,60100,36380,548525,751935,70060,38405,99615,51315,309705,522935,74000,15000,1471950,317445,169700,201575,614170
    Worked full year full time,26525,40535,25480,202635,62100,44995,31240,155525,183530,45675,42510,42205,55455,30570,50095,133405,115295,31500,21045,321175,407640,35720,21070,55745,28835,164285,279815,38595,7950,791330,176070,95865,99830,337025
    Worked part year and/or part time,24195,33090,24180,157545,43430,40290,26110,132695,135235,42025,36820,32750,48325,29555,39325,120555,118805,28600,15330,227350,344300,34335,17335,43865,22485,145420,243125,35410,7045,680615,141370,73835,101745,277145
    Average weeks worked in reference year,40.9,41.8,41.4,41.5,42.9,41.7,42.1,41.3,41.6,41.2,41.7,43,41.3,40.9,42.3,41.2,39.9,41.1,41.9,42.2,40.3,41.1,41.5,41.9,42.2,41.1,41.7,41,41.3,40.2,41.8,42.2,40.5,40.5
Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,49840,73555,49020,367505,104310,82785,56300,290990,320180,86525,78380,73905,102220,59650,87795,256125,233555,59195,36000,549985,784815,70275,38560,99750,50435,308215,520415,72785,14855,1518420,317990,169205,203695,622430
  Class of worker - not applicable,1310,1635,970,11995,1595,1305,980,8080,8495,1955,1875,785,2505,1420,1615,7165,6460,1420,820,14025,28555,2020,880,2305,860,6710,11115,1525,320,54835,7635,3080,5915,19570
  All classes of workers,48530,71920,48050,355510,102720,81485,55320,282910,311685,84565,76510,73115,99715,58230,86180,248955,227095,57770,35180,535960,756260,68255,37680,97445,49575,301500,509300,71265,14540,1463580,310350,166125,197775,602860
    Employee,43840,62710,41400,308240,89095,64415,46665,245920,261100,69640,65005,59200,86640,50630,73245,214640,194420,49650,31545,470435,640055,57575,34385,88100,43400,251965,429355,64830,12720,1223655,271655,140950,174480,484680
      Permanent position,36820,54895,35950,265835,76805,54730,40410,209045,223755,59900,55410,51700,70720,42650,62450,180725,166585,41490,25565,386980,538040,48625,29030,73770,36165,216435,367370,53405,10850,1020130,233765,121630,152380,408290
      Temporary position,7025,7810,5450,42405,12295,9680,6250,36875,37340,9740,9595,7500,15920,7980,10795,33915,27835,8160,5975,83455,102020,8950,5355,14325,7235,35525,61990,11425,1870,203525,37895,19320,22105,76395
        Fixed term (1 year or more),1915,2280,1440,13620,3500,2795,1580,13005,11615,2495,2755,2185,5795,2355,2905,12455,7845,2130,1675,30765,34035,2455,1545,4220,2370,9735,20470,3570,495,82620,12735,6005,7405,28860
"        Casual, seasonal or short-term position (less than 1 year)",5105,5535,4010,28780,8790,6885,4670,23870,25730,7245,6840,5320,10115,5630,7895,21465,19995,6025,4300,52685,67990,6495,3810,10105,4865,25795,41515,7855,1380,120905,25160,13320,14700,47535
    Self-employed,4690,9210,6650,47275,13620,17070,8655,36990,50590,14925,11505,13920,13085,7600,12935,34320,32680,8125,3635,65530,116200,10680,3295,9345,6175,49540,79945,6435,1815,239925,38695,25170,23295,118180
Total - Labour force aged 15 years and over by occupation - Broad category - National Occupational Classification (NOC) 2021 - 25% sample data,49840,73555,49020,367505,104310,82785,56300,290990,320180,86525,78380,73905,102220,59650,87795,256125,233555,59195,36000,549985,784815,70275,38560,99750,50435,308215,520415,72785,14855,1518420,317990,169205,203695,622430
  Occupation - not applicable,1310,1635,970,11995,1595,1305,980,8080,8495,1955,1875,785,2505,1420,1615,7165,6460,1420,820,14025,28555,2020,880,2305,860,6710,11115,1525,320,54835,7635,3080,5915,19570
  All occupations,48530,71920,48050,355510,102720,81485,55320,282910,311685,84565,76510,73115,99715,58230,86180,248955,227095,57770,35180,535960,756260,68255,37680,97445,49575,301500,509300,71265,14540,1463580,310350,166125,197775,602860
    0 Legislative and senior management occupations,300,685,285,3830,1055,930,425,2910,7735,885,620,710,960,410,990,2335,2375,555,465,8485,7935,730,265,850,385,3450,4750,630,140,24775,3655,2060,1715,10765
"    1 Business, finance and administration occupations",6385,10590,6235,69065,17855,11005,7245,45445,70115,11615,9880,9885,14335,7210,13365,39440,33615,8130,4705,109065,157300,9660,4750,16460,6220,44930,74970,10220,1970,315270,51635,26365,26235,136940
    2 Natural and applied sciences and related occupations,2480,3940,2465,31780,5935,4755,2350,21440,37280,4170,3835,3070,6725,4050,6065,18735,12685,2955,1300,81345,85615,4115,1740,6555,3420,17475,31450,4165,820,159770,35725,12320,15330,75995
    3 Health occupations,4995,5345,4175,26060,8115,6680,4100,26740,20660,6795,6335,4985,11070,5525,7190,24220,19210,5580,2900,39930,45955,6750,3290,9490,4315,23170,43685,7630,1250,105465,19660,11310,17875,38825
"    4 Occupations in education, law and social, community and government services",6770,7730,4940,44000,13070,7470,5270,34650,37205,9535,10365,6285,18020,6105,10425,31395,25775,7955,6955,95710,65050,9365,5350,12270,9140,34670,54870,11400,1850,181940,34830,20475,20505,64850
"    5 Occupations in art, culture, recreation and sport",940,1575,655,10025,1780,1950,1005,8770,10510,2215,1870,1730,2620,965,2090,6620,5840,1230,500,20320,15320,1925,400,1660,870,7565,11830,1235,210,83130,8115,4450,3680,18720
    6 Sales and service occupations,12700,17500,12025,88495,22450,18920,12145,72160,75535,21020,19305,15835,25135,14460,20420,63940,67845,15050,7900,114705,178975,18390,8880,23540,11715,78395,122290,17835,2985,350245,71920,36375,48620,146300
"    7 Trades, transport and equipment operators and related occupations",9910,15020,10110,62330,22610,17795,13940,49190,38430,19810,15810,15615,15795,12705,18215,41400,41335,12290,7545,54825,146455,12620,8780,18995,9545,66385,99505,13765,3205,175505,51655,31135,37285,80230
"    8 Natural resources, agriculture and related production occupations",1640,2120,3110,5915,4710,5910,3800,4665,3790,3645,2705,7990,2095,3100,3215,5905,7075,1845,1665,5320,4960,1835,2645,5185,1875,7770,25945,2380,1570,8350,5975,7250,5200,6590
    9 Occupations in manufacturing and utilities,2400,7405,4050,14010,5145,6070,5035,16945,10425,4885,5790,7020,2960,3700,4215,14970,11340,2180,1235,6280,48685,2860,1565,2455,2090,17690,40015,2000,540,59140,27180,14385,21345,23645
Total - Labour force aged 15 years and over by industry - Sectors - North American Industry Classification System (NAICS) 2017 - 25% sample data,49840,73555,49020,367505,104310,82785,56300,290990,320180,86525,78380,73905,102220,59650,87795,256125,233555,59195,36000,549985,784815,70275,38560,99750,50435,308215,520415,72785,14855,1518420,317990,169205,203695,622430
  Industry - not applicable,1310,1635,970,11995,1595,1305,980,8080,8495,1955,1875,785,2505,1420,1615,7165,6460,1420,820,14025,28555,2020,880,2305,860,6710,11115,1525,320,54835,7635,3080,5915,19570
  All industries,48530,71920,48050,355510,102720,81485,55320,282910,311685,84565,76510,73115,99715,58230,86180,248955,227095,57770,35180,535960,756260,68255,37680,97445,49575,301500,509300,71265,14540,1463580,310350,166125,197775,602860
"    11 Agriculture, forestry, fishing and hunting",1035,1595,3595,3365,4200,5460,3915,2875,1620,2725,2285,8000,1375,2930,2415,4870,5820,1010,1215,2455,1965,1560,900,1145,1500,4190,24710,1685,680,2565,4440,6095,6345,2730
"    21 Mining, quarrying, and oil and gas extraction",1215,130,180,590,230,485,225,420,980,405,235,605,165,805,275,345,455,1470,1565,550,830,320,4330,8345,215,860,1655,1910,1930,1985,370,385,575,710
    22 Utilities,500,435,890,7840,625,5750,450,1620,2210,1825,745,760,725,700,660,1260,1675,610,525,1605,3130,1125,500,710,760,2440,8455,1005,195,6115,1495,945,1170,3530
    23 Construction,3675,5970,3920,29875,10840,9165,5920,21760,18920,10620,6820,7320,7735,6480,9800,18690,19410,5850,2715,28080,48155,6570,2580,7830,4875,36255,44865,5350,1085,83035,22600,14090,13910,48365
    31-33 Manufacturing,4475,12395,6250,24015,8600,7190,8840,31280,26465,7630,8375,11210,5185,6370,7210,26130,20840,3375,1325,16225,81190,4620,2005,4580,3090,31455,65975,2755,910,97580,47950,25795,38555,50850
    41 Wholesale trade,795,2820,1570,11715,2435,1790,1980,10205,17215,2295,2010,2865,1845,1465,2205,7470,7790,1170,410,10925,36920,1985,760,2635,790,9470,15645,1405,180,45380,11415,7025,4895,27475
    44-45 Retail trade,6505,7995,5965,41505,12680,9995,6115,32750,35745,10610,9485,7630,11805,6500,10790,29205,28700,7765,3995,53365,87770,8895,4430,11890,5890,37925,57740,8740,1635,141575,33030,17490,21235,67375
    48-49 Transportation and warehousing,1910,4745,2265,17980,6030,2585,2855,13910,15255,3305,3635,2750,3400,2525,3540,12140,10605,2880,1875,18585,87640,2465,2015,4360,1160,13690,23770,4270,690,67330,15035,7950,9500,24285
    51 Information and cultural industries,460,790,805,9220,1430,1060,485,5520,8190,1115,960,795,1145,450,1210,3645,2715,740,300,12790,17415,1010,365,1155,470,4455,6395,1025,150,60850,8385,2310,1715,15025
    52 Finance and insurance,1120,1965,1080,24325,2375,2000,1230,11280,25890,2170,1530,2325,2840,1265,1895,13325,7765,1225,605,18415,49600,1815,720,2320,815,8570,20810,1355,220,123495,18065,5915,6190,52005
    53 Real estate and rental and leasing,655,1135,455,7410,1025,1435,730,5290,7820,1415,1045,660,1830,910,1335,4150,3895,835,400,8765,17160,1120,330,1330,555,6230,7625,740,120,41040,4870,2735,2775,20370
"    54 Professional, scientific and technical services",1855,3610,1655,29255,4550,4650,2030,20155,39395,4685,3725,3335,5565,2945,5475,18130,13015,2590,985,61835,77770,3955,1340,4805,3835,17570,30030,3725,515,205880,29350,12215,10840,75610
    55 Management of companies and enterprises,30,110,20,1735,65,90,50,660,2275,30,80,65,70,35,120,515,380,40,10,840,3500,55,30,125,10,635,795,40,20,9175,1140,385,250,3515
"    56 Administrative and support, waste management and remediation services",2005,3385,2125,18055,3950,3010,2190,13730,11515,3925,4065,2130,4120,2735,4070,11115,11025,2595,1015,22300,37240,3580,1175,3910,2145,14985,20120,2445,440,75095,13110,6210,8055,22820
    61 Educational services,4000,5050,2990,27200,7365,4030,3280,24850,24640,5265,4745,4060,11525,3800,5190,22735,16375,4395,3470,42010,42825,5860,3415,7850,3120,19445,36620,6600,1110,107480,27065,14680,14435,44470
    62 Health care and social assistance,8545,8745,6670,43145,14085,10650,6780,41515,31090,11245,10570,8535,16840,8795,12015,37530,29945,9835,7240,62860,69900,11155,6310,15345,6870,37115,69575,13845,2265,163465,31820,17850,25740,58440
"    71 Arts, entertainment and recreation",1325,1160,690,6830,1275,1485,785,5060,5280,2020,1320,1385,1670,1070,1755,4095,6835,990,395,9670,8235,1720,300,1200,625,7105,8225,1045,150,33405,4025,2750,4060,9380
    72 Accommodation and food services,3215,3985,2815,17860,4680,4065,2565,15865,13960,4520,4825,3370,6855,3755,4610,15060,19655,3510,1925,27965,35695,4035,1855,5305,2915,18435,27770,4530,685,82155,15400,7705,12525,28975
    81 Other services (except public administration),1995,3050,2005,13870,4500,3775,2635,11910,10420,3725,3050,3260,3680,2420,3705,9600,9655,2320,1250,20510,25300,3000,1650,3755,1715,12315,21055,3015,605,61015,10790,6460,8045,23520
    91 Public administration,3210,2850,2115,19725,11765,2800,2250,12245,12800,5045,6990,2075,11345,2280,7895,8940,10545,4560,3970,116235,24020,3405,2670,8840,8225,18345,17460,5770,955,54970,10005,7140,6970,23415
"Total - All languages used at work for the population in private households aged 15 years and over who worked since January 1, 2020 - 25% sample data",54660,78820,53275,387320,112040,90850,61145,310150,339980,93935,85140,79590,111235,64585,95285,273215,251930,64700,39115,583615,826515,75305,41690,107025,54630,331660,559120,79210,16100,1602170,339560,180535,217945,664760
  English,51910,76955,51880,372735,64510,88300,59895,297295,320100,92380,82375,77520,106270,63310,90180,261570,242790,56825,37350,437365,749615,73800,25810,88355,51445,321410,540005,75495,12830,1449315,324195,174280,207045,581880
  French,410,125,200,1070,12980,165,105,675,715,105,225,45,435,185,360,785,900,1590,110,13595,1165,145,4455,3070,370,825,1140,460,615,3435,525,320,1350,905
  Non-official language,125,105,155,1470,60,880,200,1310,1900,120,200,815,165,135,35,1230,765,50,115,2245,9520,105,65,135,45,850,3250,195,30,26495,2710,1050,1410,19095
    Indigenous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,30,0,0,0,160,0,0,0,0,0,0
    Non-Indigenous,125,105,155,1470,60,880,200,1310,1900,120,200,815,165,130,35,1230,765,50,15,2245,9520,100,60,100,45,850,3250,40,30,26495,2710,1050,1410,19095
  English and French,1755,570,545,5270,33940,710,315,3570,6000,845,1625,350,3415,575,4370,3120,3565,5915,275,115695,9845,750,10680,14420,2480,4220,4825,1300,2560,29995,3605,2100,3025,6915
  English and non-official language(s),435,1030,460,6405,375,755,590,6960,10825,450,660,835,840,355,265,6100,3620,280,1255,11465,54845,455,635,910,270,4170,9380,1725,55,87670,8260,2640,4805,53160
  French and non-official language(s),0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,165,20,0,0,15,0,0,0,0,0,70,0,0,15,15
"  English, French and non-official language(s)",10,30,20,245,140,0,30,250,410,30,40,25,110,25,70,320,275,35,10,3015,975,30,35,115,15,170,405,25,10,3010,205,100,230,760
  Multiple non-official languages,0,0,10,125,0,35,0,85,25,0,20,0,0,0,0,90,15,0,10,80,525,25,0,0,0,25,120,0,0,2175,70,45,70,2015
"Total - Language used most often at work for the population aged 15 years and over who worked since January 1, 2020, in private households, 2021 Census - 25% sample data",54660,78820,53275,387320,112040,90850,61145,310150,339980,93935,85140,79590,111235,64585,95285,273215,251930,64700,39115,583615,826515,75305,41690,107025,54630,331660,559120,79210,16100,1602170,339560,180535,217945,664760
  Single responses,54430,78505,53100,385240,105060,90615,61040,308370,337150,93745,84790,79470,110780,64440,94795,271615,250660,63605,38845,562790,813035,75135,39180,104935,54325,330450,556805,78725,15755,1580025,337665,179830,216485,651530
    Official languages,54255,78255,52850,382605,104895,89485,60735,305955,333385,93525,84405,78385,110475,64255,94715,269300,249335,63525,38455,558345,794150,74925,38890,104660,54185,328895,551565,78150,15705,1533090,333330,178190,214085,617005
      English,53630,78050,52540,380815,82310,89190,60595,304775,331925,93290,84035,78310,109695,63955,93995,267945,247865,60720,38285,532150,791825,74670,31910,99895,53650,327590,549610,77495,14795,1525910,332285,177520,212055,615075
      French,625,205,315,1800,22585,295,140,1180,1455,235,370,75,780,305,725,1355,1470,2805,165,26195,2315,255,6980,4765,540,1300,1955,655,910,7175,1050,665,2030,1925
    Non-official languages,180,250,255,2630,165,1125,310,2410,3765,215,380,1090,310,180,85,2315,1325,80,400,4445,18895,210,285,275,130,1555,5240,580,50,46935,4330,1640,2400,34530
      Indigenous languages,20,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,375,20,0,0,120,100,0,10,0,510,0,15,0,0,0,0
        Algonquian languages,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,375,0,0,0,120,100,0,10,0,510,0,15,0,0,0,0
          Blackfoot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Cree-Innu languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,15,0,0,0,0,0,0
            Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Cree languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,15,0,0,0,0,0,0
              Ililimowin (Moose Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Inu Ayimun (Southern East Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Iyiyiw-Ayimiwin (Northern East Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Nehinawewin (Swampy Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Nehiyawewin (Plains Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Nihithawiwin (Woods Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Cree, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,15,0,0,0,0,0,0
            Innu (Montagnais),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Naskapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Eastern Algonquian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Mi'kmaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Wolastoqewi (Malecite),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ojibway-Potawatomi languages,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,375,0,0,0,0,100,0,10,0,490,0,10,0,0,0,0
            Anicinabemowin (Algonquin),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0
            Ojibway languages,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,295,0,0,0,0,100,0,10,0,105,0,10,0,0,0,0
              Anishinaabemowin (Chippewa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
              Daawaamwin (Odawa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Saulteau (Western Ojibway),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Ojibway, n.o.s.",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,90,0,10,0,105,0,0,0,0,0,0
"          Algonquian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Athabaskan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Northern Athabaskan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Dakelh (Carrier),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Dane-zaa (Beaver),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Dene, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Gwich'in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Slavey-Hare languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Deh Gah Ghotie Zhatie (South Slavey),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Satuotine Yati (North Slavey),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Slavey, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tahltan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tlicho (Dogrib),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tse'khene (Sekani),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tsilhqot'in (Chilcotin),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tsuu T'ina (Sarsi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tutchone languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Northern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Southern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Tutchone, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Wetsuwet'en-Babine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Tlingit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Athabaskan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Haida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Inuktut (Inuit) languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuinnaqtun (Inuvialuktun),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Inuinnaqtun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Inuvialuktun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuktitut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Inuktut (Inuit) languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Iroquoian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mohawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Oneida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
